model,c,n_target,rep,seed,n,m,avg_deg,n_components,N1,N2,giant_frac,giant_n,giant_lambda2,giant_phi_star,giant_ipr2,core_frac,core_n,core_lambda2,core_phi_star,core_ipr2
ER,2,500,15,2515,500,509,2.036,73,121,146,0.838,419,0.013679783052942367,0.05555555555555555,0.030098780355632668,0.498,249,0.029316514611882016,0.08484848484848485,0.017116538879254947
ER,2,500,16,2516,500,490,1.96,83,132,131,0.816,408,0.013361636283638366,0.06040268456375839,0.04966932478769907,0.46,230,0.0346863786829454,0.11498257839721254,0.028779406108825626
ER,2,500,14,2514,500,505,2.02,86,134,137,0.796,398,0.01806513751985009,0.05263157894736842,0.08329048512765964,0.498,249,0.04505823113110057,0.10703363914373089,0.021440513616586734
ER,2,500,17,2517,500,485,1.94,89,145,123,0.76,380,0.0071375595109542484,0.02857142857142857,0.08419517257952491,0.418,209,0.030402336911220174,0.09826589595375723,0.017349087752125226
ER,2,500,18,2518,500,482,1.928,96,156,128,0.734,367,0.020260191440911082,0.08843537414965986,0.03620593992399083,0.442,221,0.04017360925285305,0.11643835616438356,0.020937094712968073
ER,2,500,19,2519,500,467,1.868,92,145,135,0.75,375,0.013514039005129572,0.07608695652173914,0.04455652672435673,0.41,205,0.03146649997846789,0.07335907335907337,0.013132596608246465
ER,2,1000,1,3001,1000,976,1.952,166,284,283,0.792,792,0.009945554024979347,0.07407407407407407,0.03852485572790297,0.422,422,0.03324484530437893,0.08818011257035648,0.018746403199745194
ER,2,1000,5,3005,1000,972,1.944,173,283,268,0.784,784,0.014482096132504679,0.0782608695652174,0.022252797457526032,0.451,451,0.03001815734723857,0.08108108108108109,0.01737207986867362
ER,2,1000,0,3000,1000,976,1.952,171,259,296,0.783,783,0.015505862624505408,0.08507223113964688,0.020889969109753298,0.473,473,0.02386565869245688,0.09090909090909091,0.07779056765583976
ER,2,1000,2,3002,1000,1018,2.036,152,287,255,0.803,803,0.017186524900504853,0.09659090909090909,0.039719079828134725,0.474,474,0.03749979061580824,0.08864696734059098,0.02001641190484094
ER,2,1000,4,3004,1000,1002,2.004,163,262,269,0.802,802,0.011360022319313075,0.04,0.0963374966002704,0.493,493,0.03399256348085743,0.0958904109589041,0.013533821337185083
ER,2,1000,3,3003,1000,990,1.98,158,277,259,0.809,809,0.011390449932037736,0.05263157894736842,0.09698111227532538,0.471,471,0.03267717582527614,0.08896797153024912,0.009121506162340209
ER,2,1000,8,3008,1000,1000,2.0,169,270,254,0.778,778,0.019475504680074723,0.10526315789473684,0.038245705378805846,0.498,498,0.0,nan,nan
