ensemble,γ,d_min,μ,n_target,rep,seed,graph_id,n,m,d̄,d_max,d_min_obs,n_comp,N₁,N₂,n_full,m_full,λ₂_full,λ₃_full,(λ₃−λ₂)_full,φ_periph_full,φ_mod_full,φ*_full,ρ*_full,ρ₂_full,logΔ_full,IPR₂_full,IPR₂^π_full,PR₂_full,frac_giant,n_giant,m_giant,λ₂_giant,λ₃_giant,(λ₃−λ₂)_giant,φ_periph_giant,φ_mod_giant,φ*_giant,ρ*_giant,ρ₂_giant,logΔ_giant,IPR₂_giant,IPR₂^π_giant,PR₂_giant,frac_2core,n_core,m_core,λ₂_core,λ₃_core,(λ₃−λ₂)_core,φ_periph_core,φ_mod_core,φ*_core,ρ*_core,ρ₂_core,logΔ_core,IPR₂_core,IPR₂^π_core,PR₂_core
pl_dmin2,2.5,2,,1000000,0,12345,pl_dmin2_g2.5_n1000000_d2_r0,1000000,1960126,3.920252,50,1,1,1,520766,1000000,1960126,0.03389512301617703,0.03618088811653264,0.002285765100355608,0.1111111111111111,0.3945350456444376,0.1111111111111111,4.5915415641647526e-06,0.04692836072783076,1.2671772702949653,0.11747682817520559,0.11104618038272304,8.512316986534524,1.0,1000000,1960126,0.03389512301618036,0.03618088811652287,0.0022857651003425072,0.1111111111111111,0.3945350456444376,0.1111111111111111,4.5915415641647526e-06,0.04692836072783076,1.2671772702949653,0.11747682817520555,0.11104618038272297,8.512316986534525,0.999999,999999,1960125,0.033895123016521866,0.036180888116597254,0.0022857651000753876,0.1111111111111111,0.3945350456444376,0.1111111111111111,4.591543906638608e-06,0.04692838466934507,1.2671772702949653,0.11747682817738452,0.11104618038228999,8.51231698637664
pl_dmin2,2.5,2,,1000000,1,12346,pl_dmin2_g2.5_n1000000_d2_r1,1000000,1956318,3.912636,50,1,1,1,520741,1000000,1956318,0.030478395398392477,0.031053082153234213,0.0005746867548417356,0.09090909090909091,0.3978655994663999,0.09090909090909091,5.622807743935291e-06,0.04200032918983519,1.4762542522877222,0.11705217459946726,0.1140069132493258,8.54319882071248,1.0,1000000,1956318,0.03047839539838293,0.031053082153224,0.0005746867548410695,0.09090909090909091,0.3978655994663999,0.09090909090909091,5.622807743935291e-06,0.04200032918983519,1.4762542522877222,0.11705217459946776,0.11400691324932617,8.543198820712444,0.999999,999999,1956317,0.03047839539855901,0.031053082153455147,0.0005746867548961365,0.09090909090909091,0.3978655994663999,0.09090909090909091,5.622810618115572e-06,0.04200035065891673,1.4762542522877222,0.11705217459963281,0.11400691326967319,8.543198820700397
pl_dmin2,2.5,2,,1000000,2,12347,pl_dmin2_g2.5_n1000000_d2_r2,1000000,1961024,3.922048,50,1,1,1,520474,1000000,1961024,0.03502672036375132,0.03589754354347385,0.0008708231797225352,0.10638297872340426,0.39332770118454874,0.10638297872340426,1.1983535132665382e-05,0.04880052462386998,1.30759751996057,0.10339780078662744,0.09622153499945547,9.671385584531032,1.0,1000000,1961024,0.03502672036373733,0.035897543543469856,0.0008708231797325272,0.10638297872340426,0.39332770118454874,0.10638297872340426,1.1983535132665382e-05,0.04880052462386998,1.30759751996057,0.10339780078662701,0.09622153499945515,9.671385584531071,0.999999,999999,1961023,0.035026720363751096,0.03589754354379693,0.0008708231800458321,0.10638297872340426,0.393330057879663,0.10638297872340426,1.1983541243524426e-05,0.048800039571183,1.3076035116261633,0.1033978007866597,0.09622153499958998,9.671385584528014
pl_dmin2,2.5,2,,1000000,3,12348,pl_dmin2_g2.5_n1000000_d2_r3,1000000,1958830,3.91766,50,1,1,4,520529,1000000,1958830,0.02919826535387604,0.03523702296474562,0.006038757610869583,0.09090909090909091,0.3983913341035698,0.09090909090909091,5.6155970655952786e-06,0.04003716504239776,1.4775747675420363,0.11427276948292082,0.11156028124691296,8.750991198734006,1.0,1000000,1958830,0.02919826535387693,0.035237022964745845,0.006038757610868917,0.09090909090909091,0.3983913341035698,0.09090909090909091,5.6155970655952786e-06,0.04003716504239776,1.4775747675420363,0.11427276948292081,0.11156028124691279,8.750991198734006,0.999996,999996,1958826,0.02919826535453862,0.03523702296597353,0.006038757611434908,0.09090909090909091,0.3983913341035698,0.09090909090909091,5.615608532866115e-06,0.0400372467998689,1.4775747675420363,0.11427276948309109,0.11156028126168434,8.750991198720966
pl_dmin2,2.5,2,,1000000,4,12349,pl_dmin2_g2.5_n1000000_d2_r4,1000000,1961814,3.923628,50,2,1,0,520409,1000000,1961814,0.02381689347323457,0.025977199819739116,0.002160306346504548,0.08571428571428572,0.4028356887622874,0.08571428571428572,8.920315585473445e-06,0.03210778391835312,1.5475092524525373,0.07467216072011303,0.08331411312380677,13.391871754564736,1.0,1000000,1961814,0.023816893473249,0.0259771998197309,0.0021603063464818995,0.08571428571428572,0.4028356887622874,0.08571428571428572,8.920315585473445e-06,0.03210778391835312,1.5475092524525373,0.07467216072011303,0.08331411312380683,13.391871754564736,1.0,1000000,1961814,0.023816893473244338,0.02597719981974178,0.0021603063464974426,0.08571428571428572,0.4028356887622874,0.08571428571428572,8.920315585473445e-06,0.03210778391835312,1.5475092524525373,0.074672160720113,0.08331411312380667,13.391871754564741
pl_dmin3,2.5,3,,1000000,0,12345,pl_dmin3_g2.5_n1000000_d3_r0,1000000,3000847,6.001694,50,2,1,0,2,1000000,3000847,0.19820097143974835,0.1996060725716886,0.0014051011319402562,0.40540540540540543,0.30665903325101196,0.30665903325101196,0.49999900028225364,0.22687327944410363,-0.27915107794773397,0.07073686907768449,0.05295444151634458,14.136899371412412,1.0,1000000,3000847,0.19820097143973925,0.19960607257169372,0.001405101131954467,0.40540540540540543,0.30665903325101196,0.30665903325101196,0.49999900028225364,0.22687327944410363,-0.27915107794773397,0.07073686907768496,0.05295444151634489,14.136899371412317,1.0,1000000,3000847,0.1982009714397457,0.19960607257169571,0.0014051011319500262,0.40540540540540543,0.30665903325101196,0.30665903325101196,0.49999900028225364,0.22687327944410363,-0.27915107794773397,0.0707368690776843,0.05295444151634443,14.13689937141245
pl_dmin3,2.5,3,,1000000,1,12346,pl_dmin3_g2.5_n1000000_d3_r1,1000000,2996705,5.99341,50,2,1,0,5,1000000,2996705,0.19809489164674088,0.20183411634679183,0.003739224700050947,0.38461538461538464,0.3062203256123752,0.3062203256123752,0.4999978309509945,0.2266010501534185,-0.2279389727500719,0.08433810667409765,0.06340020597197299,11.857036391203753,1.0,1000000,2996705,0.19809489164673333,0.20183411634679072,0.0037392247000573864,0.38461538461538464,0.3062203256123752,0.3062203256123752,0.4999978309509945,0.2266010501534185,-0.2279389727500719,0.0843381066740973,0.06340020597197267,11.857036391203803,1.0,1000000,2996705,0.1980948916467351,0.20183411634679205,0.0037392247000569423,0.38461538461538464,0.3062203256123752,0.3062203256123752,0.4999978309509945,0.2266010501534185,-0.2279389727500719,0.0843381066740969,0.06340020597197234,11.85703639120386
pl_dmin3,2.5,3,,1000000,2,12347,pl_dmin3_g2.5_n1000000_d3_r2,1000000,3002178,6.004356,50,2,1,0,5,1000000,3002178,0.1949129299889285,0.19877605086386052,0.0038631208749320134,0.42857142857142855,0.30994412291293666,0.30994412291293666,0.49999117307501423,0.21837928996881598,-0.3240653860304312,0.08409055747144487,0.06495064081012102,11.891941617102205,1.0,1000000,3002178,0.19491292998893073,0.19877605086385697,0.0038631208749262402,0.42857142857142855,0.30994412291293666,0.30994412291293666,0.49999117307501423,0.21837928996881598,-0.3240653860304312,0.08409055747144512,0.06495064081012122,11.89194161710217,1.0,1000000,3002178,0.1949129299889374,0.19877605086386296,0.003863120874925574,0.42857142857142855,0.30994412291293666,0.30994412291293666,0.49999117307501423,0.21837928996881598,-0.3240653860304312,0.08409055747144509,0.06495064081012118,11.891941617102175
pl_dmin3,2.5,3,,1000000,4,12349,pl_dmin3_g2.5_n1000000_d3_r4,1000000,3003979,6.007958,50,1,1,1,2,1000000,3003979,0.19351355926362657,0.20035844130323177,0.006844882039605205,0.40425531914893614,0.31143056212555836,0.31143056212555836,0.49999900132457653,0.21516695023500498,-0.26087025758483895,0.0664640823852905,0.05138341235697642,15.045720396815634,1.0,1000000,3003979,0.1935135592636259,0.20035844130324,0.006844882039614086,0.40425531914893614,0.31143056212555836,0.31143056212555836,0.49999900132457653,0.21516695023500498,-0.26087025758483895,0.06646408238529049,0.051383412356976396,15.045720396815637,0.999999,999999,3003978,0.19351355934145098,0.20035844135635617,0.006844882014905185,0.40425531914893614,0.31142675288152205,0.31142675288152205,0.49999833554040674,0.2151658567406286,-0.26088248909900624,0.06646408309888294,0.05138341397803846,15.045720235277074
pl_dmin3,2.5,3,,1000000,3,12348,pl_dmin3_g2.5_n1000000_d3_r3,1000000,3000180,6.00036,50,1,1,2,0,1000000,3000180,0.2015610470274194,0.20473628382491338,0.0031752367974939855,0.42857142857142855,0.30376756253716497,0.30376756253716497,0.49999266710664025,0.23420428107646873,-0.34419460655923717,0.05254799389171197,0.03983601961501012,19.030222201455402,1.0,1000000,3000180,0.20156104702741784,0.2047362838249125,0.0031752367974946516,0.42857142857142855,0.30376756253716497,0.30376756253716497,0.49999266710664025,0.23420428107646873,-0.34419460655923717,0.05254799389171193,0.03983601961501008,19.030222201455416,0.999998,999998,3000178,0.20156106203110236,0.20473628405282618,0.0031752220217238225,0.42857142857142855,0.3037571625275027,0.3037571625275027,0.49999750014832456,0.2341876048687778,-0.3442288438807295,0.05254804852772169,0.039836106739414415,19.030202415080183
