ensemble,γ,d_min,μ,n_target,rep,seed,graph_id,n,m,d̄,d_max,d_min_obs,n_comp,N₁,N₂,n_full,m_full,λ₂_full,λ₃_full,(λ₃−λ₂)_full,φ_periph_full,φ_mod_full,φ*_full,ρ*_full,ρ₂_full,logΔ_full,IPR₂_full,IPR₂^π_full,PR₂_full,frac_giant,n_giant,m_giant,λ₂_giant,λ₃_giant,(λ₃−λ₂)_giant,φ_periph_giant,φ_mod_giant,φ*_giant,ρ*_giant,ρ₂_giant,logΔ_giant,IPR₂_giant,IPR₂^π_giant,PR₂_giant,frac_2core,n_core,m_core,λ₂_core,λ₃_core,(λ₃−λ₂)_core,φ_periph_core,φ_mod_core,φ*_core,ρ*_core,ρ₂_core,logΔ_core,IPR₂_core,IPR₂^π_core,PR₂_core
pl_dmin2,2.1,2,,30000,12,12357,pl_dmin2_g2.1_n30000_d2_r12,30000,77123,5.141533333333333,50,2,1,0,12834,30000,77123,0.08930217177361932,0.09309293600733248,0.003790764233713162,0.16666666666666666,0.4579453795679124,0.16666666666666666,7.779780350868094e-05,0.08384009958118849,1.0107541086628884,0.19673361217785443,0.1747060006381914,5.08301549963899,1.0,30000,77123,0.08930217177362243,0.09309293600733426,0.0037907642337118297,0.16666666666666666,0.4579453795679124,0.16666666666666666,7.779780350868094e-05,0.08384009958118849,1.0107541086628884,0.19673361217785468,0.17470600063819214,5.083015499638983,1.0,30000,77123,0.0893021717736251,0.09309293600734092,0.0037907642337158265,0.16666666666666666,0.4579453795679124,0.16666666666666666,7.779780350868094e-05,0.08384009958118849,1.0107541086628884,0.1967336121778545,0.17470600063819208,5.083015499638988
pl_dmin2,2.1,2,,30000,14,12359,pl_dmin2_g2.1_n30000_d2_r14,29999,78332,5.222307410247009,50,1,1,1,12655,29999,78332,0.06447761385096773,0.09220392416294243,0.0277263103119747,0.15789473684210525,0.48355716693050094,0.15789473684210525,0.00012127866006229893,0.057115865801971095,1.1192409550572844,0.150291363585095,0.13522463818836547,6.653742278635989,1.0,29999,78332,0.06447761385096795,0.09220392416293843,0.02772631031197048,0.15789473684210525,0.48355716693050094,0.15789473684210525,0.00012127866006229893,0.057115865801971095,1.1192409550572844,0.15029136358509526,0.1352246381883668,6.653742278635978,0.9999666655555185,29998,78331,0.06447761405912367,0.09220392442304526,0.02772631036392159,0.15789473684210525,0.48355057384688055,0.15789473684210525,0.0001212802083466316,0.057116594962403136,1.1192273204158842,0.1502913639238239,0.1352246504685458,6.653742263639687
pl_dmin2,2.1,2,,30000,16,12361,pl_dmin2_g2.1_n30000_d2_r16,29999,77342,5.156305210173673,50,1,1,1,12805,29999,77342,0.08636693228365622,0.10383717165363726,0.017470239369981044,0.16666666666666666,0.461579239989139,0.16666666666666666,7.757751286493755e-05,0.07931007731892116,1.0186579304014507,0.18640512020411404,0.16413578127476222,5.364659505624082,1.0,29999,77342,0.08636693228364778,0.10383717165363682,0.017470239369989038,0.16666666666666666,0.461579239989139,0.16666666666666666,7.757751286493755e-05,0.07931007731892116,1.0186579304014507,0.18640512020411404,0.16413578127476255,5.364659505624082,0.9999666655555185,29998,77341,0.08636693276450336,0.10383717223685784,0.017470239472354487,0.16666666666666666,0.46157227825187486,0.16666666666666666,7.757851592299039e-05,0.07931110277860384,1.0186428478562202,0.18640512299087528,0.16413581488433737,5.364659425422289
pl_dmin2,2.1,2,,30000,15,12360,pl_dmin2_g2.1_n30000_d2_r15,30000,77010,5.134,50,2,1,0,12792,30000,77010,0.08332111830451772,0.09595290787961064,0.012631789575092922,0.16666666666666666,0.46566412134434576,0.16666666666666666,7.791195948578106e-05,0.0784313725490196,1.027468794844912,0.18592894108673447,0.16572624483322154,5.378398834281035,1.0,30000,77010,0.08332111830451727,0.09595290787959243,0.012631789575075159,0.16666666666666666,0.46566412134434576,0.16666666666666666,7.791195948578106e-05,0.0784313725490196,1.027468794844912,0.18592894108673458,0.16572624483322168,5.3783988342810325,1.0,30000,77010,0.08332111830451283,0.09595290787960309,0.012631789575090258,0.16666666666666666,0.46566412134434576,0.16666666666666666,7.791195948578106e-05,0.0784313725490196,1.027468794844912,0.18592894108673458,0.16572624483322237,5.3783988342810325
pl_dmin2,2.1,2,,30000,13,12358,pl_dmin2_g2.1_n30000_d2_r13,30000,76660,5.110666666666667,50,1,1,1,12837,30000,76660,0.08572785117367676,0.10058252356444264,0.014854672390765877,0.2,0.4602400208713801,0.2,6.522306287503261e-05,0.07894599530393948,0.8334307713559054,0.18143347551490735,0.1612277350954481,5.511662041208243,1.0,30000,76660,0.0857278511736741,0.10058252356444086,0.014854672390766765,0.2,0.4602400208713801,0.2,6.522306287503261e-05,0.07894599530393948,0.8334307713559054,0.18143347551490732,0.1612277350954481,5.511662041208243,0.9999333333333333,29998,76658,0.08572785200650013,0.10058252361742981,0.014854671610929682,0.2,0.46021889716529474,0.2,6.522476453860002e-05,0.07894805499752146,0.8333848731508358,0.18143347956526265,0.16122776297930225,5.511661918164857
pl_dmin2,2.1,2,,30000,17,12362,pl_dmin2_g2.1_n30000_d2_r17,30000,77949,5.1966,50,2,1,0,12700,30000,77949,0.09063218185983035,0.10142095627016379,0.010788774410333435,0.16666666666666666,0.4598380951159121,0.16666666666666666,7.697340568833467e-05,0.08435643818394079,1.0148786506347656,0.1983056961805539,0.17397642983459505,5.04271949449963,1.0,30000,77949,0.09063218185983746,0.10142095627015957,0.01078877441032211,0.16666666666666666,0.4598380951159121,0.16666666666666666,7.697340568833467e-05,0.08435643818394079,1.0148786506347656,0.1983056961805539,0.1739764298345946,5.04271949449963,1.0,30000,77949,0.09063218185982769,0.10142095627015313,0.010788774410325441,0.16666666666666666,0.4598380951159121,0.16666666666666666,7.697340568833467e-05,0.08435643818394079,1.0148786506347656,0.19830569618055385,0.17397642983459444,5.042719494499631
pl_dmin2,2.1,2,,30000,18,12363,pl_dmin2_g2.1_n30000_d2_r18,30000,77173,5.144866666666666,50,1,1,2,12898,30000,77173,0.07009748622012268,0.08259977084973813,0.012502284629615446,0.14285714285714285,0.4786191883066397,0.14285714285714285,9.070529848522152e-05,0.06296891399841914,1.2090601373192746,0.17648825660406253,0.1646602314277508,5.666099372511912,1.0,30000,77173,0.0700974862201289,0.08259977084974235,0.012502284629613447,0.14285714285714285,0.4786191883066397,0.14285714285714285,9.070529848522152e-05,0.06296891399841914,1.2090601373192746,0.1764882566040625,0.16466023142775035,5.666099372511913,0.9999333333333333,29998,77171,0.0700974866718107,0.08259977143488895,0.012502284763078242,0.14285714285714285,0.4786056757807438,0.14285714285714285,9.07076492464786e-05,0.06297054593046611,1.2090319046094828,0.1764882576325359,0.1646602334021191,5.666099339493102
pl_dmin2,2.1,2,,30000,19,12364,pl_dmin2_g2.1_n30000_d2_r19,30000,77433,5.1622,50,1,1,1,12731,30000,77433,0.09530209706856607,0.10792869805827832,0.012626600989712244,0.17647058823529413,0.4538104893388953,0.17647058823529413,0.00010977231929539086,0.09170508697842006,0.9445254629378488,0.171980670859456,0.14873500518711402,5.814606926479593,1.0,30000,77433,0.09530209706856407,0.1079286980582721,0.012626600989708026,0.17647058823529413,0.4538104893388953,0.17647058823529413,0.00010977231929539086,0.09170508697842006,0.9445254629378488,0.17198067085945587,0.14873500518711363,5.814606926479597,0.9999666666666667,29999,77432,0.09530209736495787,0.10792869922097692,0.012626601856019048,0.17647058823529413,0.4538034353609712,0.17647058823529413,0.00010977373695629714,0.09170627130901952,0.9445099189323366,0.1719806712721217,0.14873501097055528,5.814606912527509
pl_dmin2,2.1,2,,30000,20,12365,pl_dmin2_g2.1_n30000_d2_r20,30000,77537,5.169133333333333,50,2,1,0,12799,30000,77537,0.08684991337141268,0.08732605227487578,0.00047613890346309695,0.16666666666666666,0.4598498723140816,0.16666666666666666,7.73824109779847e-05,0.08359879799321614,1.0149042619259583,0.18752117844148888,0.16374213954981373,5.332730992366412,1.0,30000,77537,0.08684991337141534,0.08732605227487755,0.0004761389034622088,0.16666666666666666,0.4598498723140816,0.16666666666666666,7.73824109779847e-05,0.08359879799321614,1.0149042619259583,0.18752117844155225,0.16374213954987377,5.33273099236461,1.0,30000,77537,0.08684991337142067,0.08732605227488377,0.00047613890346309695,0.16666666666666666,0.4598498723140816,0.16666666666666666,7.73824109779847e-05,0.08359879799321614,1.0149042619259583,0.18752117844142918,0.16374213954975725,5.332730992368109
pl_dmin2,2.1,2,,30000,21,12366,pl_dmin2_g2.1_n30000_d2_r21,30000,77780,5.185333333333333,50,1,1,1,12641,30000,77780,0.07300857188949617,0.08206601205500608,0.009057440165509911,0.16666666666666666,0.47742117985907523,0.16666666666666666,7.714065312419645e-05,0.06526742093083054,1.0524032681834643,0.1768242071521317,0.1622140218962918,5.655334278635529,1.0,30000,77780,0.07300857188949372,0.08206601205500808,0.009057440165514352,0.16666666666666666,0.47742117985907523,0.16666666666666666,7.714065312419645e-05,0.06526742093083054,1.0524032681834643,0.17682420715213173,0.16221402189629253,5.655334278635528,0.9999666666666667,29999,77779,0.0730085721574587,0.08206601253043644,0.009057440372977732,0.16666666666666666,0.47741446040297797,0.16666666666666666,7.714164491700845e-05,0.0652682600701989,1.0523891936018002,0.17682420788905634,0.16221402805917198,5.655334255066611
pl_dmin2,2.1,2,,30000,22,12367,pl_dmin2_g2.1_n30000_d2_r22,30000,77253,5.1502,50,2,1,0,12788,30000,77253,0.10779015232831579,0.11225125596103114,0.004461103632715346,0.2,0.43322416538297237,0.2,9.708360840355714e-05,0.10502504757096812,0.7729379304554919,0.168905744835319,0.1507067347803847,5.9204617402148605,1.0,30000,77253,0.1077901523283229,0.11225125596104335,0.004461103632720453,0.2,0.43322416538297237,0.2,9.708360840355714e-05,0.10502504757096812,0.7729379304554919,0.1689057448353188,0.15070673478038463,5.920461740214868,1.0,30000,77253,0.10779015232832045,0.11225125596102647,0.0044611036327060205,0.2,0.43322416538297237,0.2,9.708360840355714e-05,0.10502504757096812,0.7729379304554919,0.1689057448353193,0.15070673478038507,5.92046174021485
pl_dmin2,2.1,2,,30000,23,12368,pl_dmin2_g2.1_n30000_d2_r23,29999,76790,5.119503983466116,50,2,1,0,12931,29999,76790,0.0866231321728339,0.08922578861948893,0.0026026564466550273,0.16666666666666666,0.46132909661540067,0.16666666666666666,7.813517385076181e-05,0.08232191691626514,1.018115854076116,0.19364552871749285,0.17354242394767952,5.16407482590981,1.0,29999,76790,0.08662313217283546,0.08922578861948449,0.002602656446649032,0.16666666666666666,0.46132909661540067,0.16666666666666666,7.813517385076181e-05,0.08232191691626514,1.018115854076116,0.19364552871749577,0.17354242394768205,5.164074825909732,1.0,29999,76790,0.08662313217283812,0.08922578861949071,0.0026026564466525848,0.16666666666666666,0.46132909661540067,0.16666666666666666,7.813517385076181e-05,0.08232191691626514,1.018115854076116,0.19364552871749122,0.17354242394767824,5.164074825909854
