ensemble,gamma,d_min,n_points,alpha_full,r2_full,alpha_giant,r2_giant,alpha_core,r2_core
planted_dmin1_mu0.2,3.0,1.0,6,nan,nan,1.0995021972634176,0.9958595167877595,0.7899846383573527,0.8782326639793065
planted_dmin1_mu0.3,2.1,1.0,6,nan,nan,0.27054607678848164,0.9961785806385293,0.18129998408397222,0.9874406091446238
planted_dmin1_mu0.3,2.5,1.0,6,nan,nan,0.35966976383259247,0.988192274394482,0.47869088807302934,0.8747196845816496
planted_dmin1_mu0.3,3.0,1.0,6,nan,nan,1.0539152824294866,0.9979980361805221,0.741935929936659,0.9270859110787164
planted_dmin2_mu0.05,2.1,2.0,6,0.03712790907130542,0.7398938773677153,0.03527311420595025,0.7846912103181413,0.034503549126027516,0.8511333495151092
planted_dmin2_mu0.05,2.5,2.0,6,0.06292768624922165,0.6283976886009728,0.05447112382718828,0.8647535549806248,0.028822355566874434,0.4317305828563719
planted_dmin2_mu0.05,3.0,2.0,6,0.1239919633416381,0.8952780833355904,0.10506615036359837,0.9072051563920046,0.05425606413486196,0.8187420753285906
planted_dmin2_mu0.1,2.1,2.0,6,0.12315148127263242,0.8725440475980569,0.0917728951191242,0.9177292134874502,0.06508355400110592,0.961818705144274
planted_dmin2_mu0.1,2.5,2.0,6,0.14870957177267569,0.95494430868138,0.13004925474352405,0.9697247060107779,0.1050728566536738,0.9734118859930669
planted_dmin2_mu0.1,3.0,2.0,6,0.20938059045752558,0.9736309378855833,0.17896701287495914,0.982401343887995,0.135748176825451,0.9911160150031074
planted_dmin2_mu0.2,2.1,2.0,6,0.17239356077644075,0.9764252239975005,0.16803425267059435,0.9872590813298336,0.14120390727596127,0.9955866106735082
planted_dmin2_mu0.2,2.5,2.0,6,0.21282520468854565,0.9206791121783738,0.18336602837300997,0.9559304988699926,0.15088449882035512,0.9776642823258442
planted_dmin2_mu0.2,3.0,2.0,6,0.22859605266211985,0.9858141173285082,0.21001621936837506,0.9942110235128596,0.18294906924158133,0.9965847290530022
planted_dmin2_mu0.3,2.1,2.0,6,0.22443430741295345,0.9826652425343828,0.20441405518793548,0.9874951174394967,0.170796978491418,0.992221435222526
planted_dmin2_mu0.3,2.5,2.0,6,0.22256267501613983,0.9912799426320316,0.19641649327427813,0.9952069472639885,0.16394986803839537,0.9921102491479138
planted_dmin2_mu0.3,3.0,2.0,6,0.2729315953806239,0.9820693541988089,0.2347439802815344,0.987806849072011,0.18417514850601258,0.9779823053697736
planted_dmin3_mu0.05,2.1,3.0,6,0.03439557140030726,0.7101288174241103,0.03439557140030655,0.7101288174240963,0.03446356766016271,0.7101011504910943
planted_dmin3_mu0.05,2.5,3.0,6,0.03243897868913676,0.8045477429172679,0.03243897868913821,0.8045477429172807,0.032560745553646575,0.8052366632747383
planted_dmin3_mu0.05,3.0,3.0,6,0.016321758532849465,0.6825587427634372,0.016321758532848833,0.6825587427634083,0.016411935225599195,0.6835437221667837
planted_dmin3_mu0.1,2.1,3.0,6,0.03090575180951302,0.7723843430530208,0.030905751809512726,0.7723843430530087,0.030985217389519155,0.7720702986518532
planted_dmin3_mu0.1,2.5,3.0,6,0.02194027573465252,0.8583519113921778,0.021940275734652258,0.8583519113921662,0.022027290016164925,0.8592069234768953
planted_dmin3_mu0.1,3.0,3.0,6,0.018553388418578086,0.7792872196012567,0.018553388418578384,0.7792872196012698,0.01863308418055097,0.7787095536767634
planted_dmin3_mu0.2,2.1,3.0,6,0.016538330283774664,0.9823781271033427,0.016538330283774175,0.9823781271033455,0.016546855917948074,0.9823910281786982
planted_dmin3_mu0.2,2.5,3.0,6,0.01781334344624073,0.9326170436957155,0.017813343446241366,0.9326170436957033,0.017148043203834756,0.9338963367671999
planted_dmin3_mu0.2,3.0,3.0,6,0.02101489696283586,0.9445027022783239,0.021014896962837273,0.9445027022783447,0.021443816635030068,0.9399682301465574
planted_dmin3_mu0.3,2.1,3.0,6,0.04365807051844468,0.9904821852158903,0.043658070518444295,0.9904821852158895,0.043457258734732336,0.9898371554731329
