=== α в λ₂ ~ n^(−α)  (R², точек n) ===
      ensemble     γ  dmin    α(G)    R²  α(giant)    R²  α(core)    R²
  2.5 3000.0     0.0721     0.2297   3.18    0.166    0.284
  2.5 10000.0     0.0566     0.2235   3.95    0.143    0.286
  2.5 30000.0     0.0486     0.2141   4.41    0.128    0.293
  2.5 100000.0     0.0414     0.2074   5.01    0.114    0.299
  3.0  100.0     0.0706     0.2087   2.96    0.142    0.238
  3.0  200.0     0.0610     0.1975   3.24    0.142    0.243
  3.0  500.0     0.0508     0.1904   3.75    0.138    0.236
  3.0 1000.0     0.0449     0.1892   4.22    0.136    0.235
  3.0 3000.0     0.0362     0.1815   5.02    0.116    0.236
  3.0 10000.0     0.0312     0.1745   5.59    0.104    0.243
  3.0 30000.0     0.0263     0.1724   6.56    0.093    0.243
  3.0 100000.0     0.0211     0.1681   7.95    0.081    0.248

=== режимы (эвристика) ===
peripheral: d_min=1, ρ*<0.25, logΔ≥0, IPR₂·n≥1.5
modular:    ρ*≥0.25, logΔ<0.5
   core-no-periphery: 192
         local-mixed: 11
             modular: 54
          peripheral: 25
