model,n_target,c,gamma,D,rep,n,m,avg_deg,N2,P2,q,giant_frac,giant_n,giant_lambda2,core_frac,core_n,core_m,d_bar_core,core_lambda2,core_P2,q_core
ER,10000,2.4,,,0,10000,11914,2.3828,2688,0.2688,0.22561692126909516,0.8746,8746,0.017449720081661457,0.6237,6237,9232,2.9603976270642938,0.03370106281994101,0.44733044733044736,0.302209705372617
ER,10000,2.4,,,1,10000,11966,2.3932,2686,0.2686,0.22446932976767506,0.8815,8815,0.017465845918627654,0.6291,6291,9294,2.954697186456843,0.04364771482562513,0.4461929740899698,0.3020228104153217
ER,10000,2.4,,,2,10000,12097,2.4194,2624,0.2624,0.21691328428536003,0.8817,8817,0.014867227125713978,0.6274,6274,9372,2.987567739878865,0.044135002107340116,0.4335352247370099,0.29022620571916347
ER,10000,2.4,,,3,10000,12037,2.4074,2625,0.2625,0.21807759408490487,0.8789,8789,0.013924859596595507,0.6249,6249,9334,2.987357977276364,0.04341848110090085,0.4279084653544567,0.286479537175916
ER,10000,2.8,,,0,10000,13971,2.7942,2378,0.2378,0.17020972013456445,0.9238,9238,0.022821274232781352,0.7262,7262,11911,3.2803635362159187,0.06731720412435727,0.34136601487193613,0.20812694148266309
ER,10000,2.8,,,1,10000,13900,2.78,2375,0.2375,0.17086330935251798,0.9252,9252,0.028648954287063155,0.7202,7202,11775,3.269925020827548,0.06705021062408245,0.3475423493474035,0.21256900212314225
ER,10000,2.8,,,3,10000,13968,2.7936,2353,0.2353,0.1684564719358534,0.9211,9211,0.036735170536314365,0.7233,7233,11899,3.2901977049633624,0.06308802867987451,0.33457763030554405,0.20337843516261872
ER,10000,2.8,,,2,10000,14065,2.813,2436,0.2436,0.1731958762886598,0.9291,9291,0.030877463797687854,0.7356,7356,12076,3.283306144643828,0.04839689465763297,0.34828711256117456,0.21215634315998677
ER,10000,3.2,,,1,10000,16086,3.2172,2002,0.2002,0.12445604873803306,0.9566,9566,0.049214028488280936,0.8013,8013,14503,3.619867714963185,0.08537807464309699,0.26357169599400976,0.14562504309453217
ER,10000,3.2,,,0,10000,15752,3.1504,2188,0.2188,0.1389029964448959,0.9509,9509,0.017390203405853066,0.8014,8014,14213,3.547042675318193,0.08345622428300947,0.28861991514849017,0.16273833814113842
ER,10000,3.2,,,3,10000,15948,3.1896,2097,0.2097,0.13148984198645597,0.9504,9504,0.04009593371571585,0.8015,8015,14427,3.6,0.08556635930952461,0.2764815970056145,0.15360088722534138
ER,10000,3.2,,,2,10000,15941,3.1882,2129,0.2129,0.13355498400351296,0.9514,9514,0.03231623923980731,0.8042,8042,14435,3.589903009201691,0.08707337190958264,0.27978114896791845,0.15587114651887773
ER,10000,3.6,,,1,10000,17939,3.5878,1713,0.1713,0.0954902725904454,0.9675,9675,0.05908901552421897,0.8584,8584,16834,3.9221808014911463,0.1137052210421885,0.20887698042870456,0.10651063324224783
ER,10000,3.6,,,0,10000,18190,3.638,1787,0.1787,0.0982407916437603,0.9731,9731,0.022583938598949693,0.8695,8695,17144,3.9434157561817136,0.10852846937212712,0.2175963197239793,0.11035930937937471
ER,10000,3.6,,,2,10000,18018,3.6036,1790,0.179,0.09934509934509933,0.97,9700,0.07084308497226632,0.87,8700,16995,3.906896551724138,0.09302082864500516,0.21402298850574714,0.10956163577522801
ER,10000,3.6,,,3,10000,17929,3.5858,1802,0.1802,0.10050755758826482,0.9669,9669,0.05472331029742561,0.8589,8589,16829,3.9187332634765397,0.08841905827872942,0.21772033996972873,0.11111771347079447
ER,10000,4.0,,,1,10000,19984,3.9968,1477,0.1477,0.07390912730184147,0.9787,9787,0.08819153707861682,0.9006,9006,19195,4.262713746391294,0.11949124506486086,0.1675549633577615,0.07861422245376401
ER,10000,4.0,,,0,10000,20023,4.0046,1470,0.147,0.0734155720920941,0.9789,9789,0.07121298690122968,0.8998,8998,19217,4.271393643031785,0.12148103234685137,0.16903756390308958,0.0791486704480408
ER,10000,4.0,,,3,10000,19970,3.994,1428,0.1428,0.07150726089133701,0.9771,9771,0.08430262142798761,0.9025,9025,19211,4.257285318559557,0.11105621666827226,0.16587257617728532,0.07792410598094841
ER,10000,4.0,,,2,10000,20212,4.0424,1448,0.1448,0.0716406095388878,0.9812,9812,0.050336893830103646,0.9045,9045,19435,4.2974018794914315,0.0996350785732305,0.16838032061912658,0.0783637766915359
ER,10000,4.5,,,1,10000,22585,4.517,1197,0.1197,0.052999778614124415,0.9891,9891,0.0609818543368259,0.9366,9366,22055,4.7095878710228485,0.17695986500761274,0.13079222720478326,0.05554296077986851
ER,10000,4.5,,,0,10000,22493,4.4986,1151,0.1151,0.05117147557017739,0.9885,9885,0.09177553221551205,0.9362,9362,21966,4.69258705404828,0.15651220875779837,0.1261482589190344,0.053764909405444775
ER,10000,4.5,,,2,10000,22577,4.5154,1153,0.1153,0.051069672675731946,0.9895,9895,0.06481775913306964,0.9384,9384,22063,4.70225916453538,0.15737308940672468,0.12627877237851662,0.0537098309386756
ER,10000,4.5,,,3,10000,22549,4.5098,1134,0.1134,0.05029047851345957,0.9874,9874,0.09929782421357869,0.9366,9366,22038,4.705957719410634,0.14343602339176686,0.1258808456117873,0.0534985025864416
ER,10000,5.0,,,1,10000,24991,4.9982,860,0.086,0.034412388459845546,0.9933,9933,0.17732157516767,0.9587,9587,24644,5.1411286116616255,0.18829766397564418,0.09168665901741942,0.03566791105340042
ER,10000,5.0,,,0,10000,25077,5.0154,830,0.083,0.03309805798141724,0.9932,9932,0.16071451824872462,0.959,9590,24734,5.158289885297185,0.18799812855004938,0.08800834202294057,0.03412306945904423
ER,10000,5.0,,,3,10000,24945,4.989,835,0.0835,0.03347364201242734,0.9929,9929,0.14202816119004158,0.9553,9553,24567,5.1433057678216265,0.16981982915458893,0.08960535957290904,0.03484348923352465
ER,10000,5.0,,,2,10000,24893,4.9786,865,0.0865,0.03474872454103563,0.9937,9937,0.15963481846649596,0.9614,9614,24570,5.111296026627834,0.1966366637112522,0.092989390472228,0.03638583638583638
ER,30000,2.0,,,0,30000,29854,1.9902666666666666,8171,0.27236666666666665,0.27369866684531385,0.7936,23808,0.0028064945607158,0.47313333333333335,14194,18988,2.6754966887417218,0.021574387689650365,0.5512892771593632,0.4121023804508111
ER,30000,2.0,,,1,30000,30014,2.0009333333333332,8085,0.2695,0.2693742919970681,0.7937666666666666,23813,0.005341521747927569,0.47053333333333336,14116,18990,2.6905638991215644,0.023416809768454616,0.542646642108246,0.40337019483938913
ER,30000,2.0,,,2,30000,30146,2.009733333333333,8146,0.27153333333333335,0.2702182710807404,0.7945,23835,0.006267289266864484,0.4813,14439,19453,2.6945079299120436,0.026581766979494992,0.5415194958099592,0.40194314501619294
ER,30000,2.0,,,3,30000,30187,2.0124666666666666,8087,0.2695666666666667,0.26789677675820717,0.8005666666666666,24017,0.00495063255255257,0.4783,14349,19355,2.6977489720538017,0.020954635914694375,0.5387831904662346,0.3994316714027383
ER,30000,2.4,,,0,30000,36089,2.4059333333333335,7762,0.2587333333333333,0.21507938707085258,0.8773666666666666,26321,0.012622864030149561,0.6305,18915,28160,2.977531060005287,0.04011806253195149,0.4358974358974359,0.2927911931818182
ER,30000,2.4,,,1,30000,36221,2.4147333333333334,7907,0.26356666666666667,0.21829877695259656,0.8816666666666667,26450,0.011106633641441155,0.6280333333333333,18841,28129,2.9859349291438884,0.03946329690700856,0.4372379385382941,0.2928650147534573
ER,30000,2.4,,,3,30000,35688,2.3792,7871,0.2623666666666667,0.2205503250392289,0.8731333333333333,26194,0.012633654480863843,0.6175333333333334,18526,27440,2.962323221418547,0.03859612100028409,0.4383029256180503,0.29591836734693877
ER,30000,2.4,,,2,30000,35696,2.3797333333333333,7918,0.26393333333333335,0.22181757059614526,0.8789,26367,0.01162029692828681,0.6165333333333334,18496,27292,2.9511245674740483,0.03785512783424516,0.439878892733564,0.2981093360691778
ER,30000,2.8,,,0,30000,42165,2.811,7109,0.23696666666666666,0.1685995493893039,0.9256666666666666,27770,0.020465110548685495,0.7327,21981,36150,3.2892043128156137,0.05204150379590966,0.3387925936035667,0.2060027662517289
ER,30000,2.8,,,1,30000,42160,2.8106666666666666,7131,0.2377,0.1691413662239089,0.9272333333333334,27817,0.013183980643370452,0.7336333333333334,22009,36123,3.28256622290881,0.061156041742524314,0.34108773683493115,0.20781773385377736
